MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
vie en harmonie,N P N,harmonie avec le vivant,N P N,vie,vivant,QSYN
production dans la région,N P N,production dans les pays,N P N,région,pays,QSYN
monde grâce,N N,terre grâce,N N,monde,terre,QSYN
matière de réutilisation,N P N,recyclage de la matière,N P N,réutilisation,recyclage,QSYN
stockage du co2,N P N,charge de co2,N P N,stockage,charge,QSYN
développement durable,N A,développement rationnel,N A,durable,rationnel,QSYN
manière propre,N A,manière écologique,N A,propre,écologique,QSYN
niveau de croissance,N P N,accroissement du niveau,N P N,croissance,accroissement,QSYN
fin de la croissance,N P N,fin de développement,N P N,croissance,développement,QSYN
processus de recyclage,N P N,processus de valorisation,N P N,recyclage,valorisation,QSYN
ressource sur ressources,N P N,richesse en ressources,N P N,ressource,richesse,QSYN
vue de la protection,N P N,vue de la préservation,N P N,protection,préservation,QSYN
filières de valorisation,N P N,filières de récupération,N P N,valorisation,récupération,QSYN
biodiversité par la conservation,N P N,biodiversité par la protection,N P N,conservation,protection,QSYN
enjeux de conservation,N P N,enjeux de préservation,N P N,conservation,préservation,QSYN
côte sud,N A,littoral du sud,N P N,côte,littoral,QSYN
augmentation rapide,N A,croissance rapide,N A,augmentation,croissance,QSYN
gaspillage des ressources,N P N,surconsommation des ressources,N P N,gaspillage,surconsommation,QSYN
trentaine dans la région,N P N,trentaine de pays,N P N,région,pays,QSYN
grâce à la transformation,N P N,grâce au traitement,N P N,transformation,traitement,QSYN
augmentation des émissions,N P N,hausse des émissions,N P N,augmentation,hausse,QSYN
risque de feu,N P N,risque incendie,N N,feu,incendie,QSYN
formation en ligne,N P N,parcours de formation,N P N,ligne,parcours,QSYN
augmentation de la biodiversité,N P N,hausse de la biodiversité,N P N,augmentation,hausse,QSYN
grâce à la réduction,N P N,grâce à une diminution,N P N,réduction,diminution,QSYN
espèces dans une région,N P N,espèces de la zone,N P N,région,zone,QSYN
origine organique,N A,origine biologique,N A,organique,biologique,QSYN
concentration de méthane,N P N,teneur en méthane,N P N,concentration,teneur,QSYN
diminution des ressources,N P N,raréfaction des ressources,N P N,diminution,raréfaction,QSYN
forages de gaz,N P N,forages de pétrole,N P N,gaz,pétrole,QSYN
population du globe,N P N,population de la planète,N P N,globe,planète,QSYN
neige de culture,N P N,culture sous pluie,N P N,neige,pluie,QSYN
croissance du pib,N P N,accroissement du pib,N P N,croissance,accroissement,QSYN
stockage des eaux,N P N,charge des eaux,N P N,stockage,charge,QSYN
modèle de croissance,N P N,modèle pour le développement,N P N,croissance,développement,QSYN
impact sur le climat,N P N,incidence sur le climat,N P N,impact,incidence,QSYN
enjeux du monde,N P N,enjeux de la planète,N P N,monde,planète,QSYN
monde sur la préservation,N P N,préservation de la planète,N P N,monde,planète,QSYN
température de la planète,N P N,température de la terre,N P N,planète,terre,QSYN
reboisement des terres,N P N,régénération des terres,N P N,reboisement,régénération,QSYN
région boréale,N A,zone boréale,N A,région,zone,QSYN
traité global,N A,traité mondial,N A,global,mondial,QSYN
région arctique,N A,zone arctique,N A,région,zone,QSYN
augmentation continue,N A,hausse continue,N A,augmentation,hausse,QSYN
consommation en électricité,N P N,énergie dans la consommation,N P N,électricité,énergie,QSYN
industrialisation rapide,N A,urbanisation rapide,N A,industrialisation,urbanisation,QSYN
terme de dégradation,N P N,terme de désertification,N P N,dégradation,désertification,QSYN
potentiel hydroélectrique,N A,potentiel électrique,N A,hydroélectrique,électrique,QSYN
population de la planète,N P N,population de la terre,N P N,planète,terre,QSYN
système ferroviaire,N A,système routier,N A,ferroviaire,routier,QSYN
jardin écologique,N A,jardin écolo,N N,écologique,écolo,QSYN
domaine de la conservation,N P N,protection du domaine,N P N,conservation,protection,QSYN
dérèglement du climat,N P N,perturbation du climat,N P N,dérèglement,perturbation,QSYN
couvert végétal,N A,manteau végétal,N A,couvert,manteau,QSYN
écosystèmes de la région,N P N,écosystèmes du pays,N P N,région,pays,QSYN
question de la forêt,N P N,bois en question,N P N,forêt,bois,QSYN
fonte rapide,N A,recul rapide,N A,fonte,recul,QSYN
poumon du monde,N P N,poumon de la planète,N P N,monde,planète,QSYN
concentration en poussières,N P N,teneur en poussières,N P N,concentration,teneur,QSYN
recherche de croissance,N P N,développement de la recherche,N P N,croissance,développement,QSYN
planète en matière,N P N,matière de terre,N P N,planète,terre,QSYN
prévention de la contamination,N P N,prévention de la pollution,N P N,contamination,pollution,QSYN
désertification dans la région,N P N,sécheresse dans la région,N P N,désertification,sécheresse,QSYN
tiers monde,N A,tiers de la planète,N P N,monde,planète,QSYN
problème de la dégradation,N P N,problème de la désertification,N P N,dégradation,désertification,QSYN
transformation dans la période,N P N,période de traitement,N P N,transformation,traitement,QSYN
actions de conservation,N P N,actions de protection,N P N,conservation,protection,QSYN
augmentation quantitative,N A,croissance quantitative,N A,augmentation,croissance,QSYN
couvert neigeux,N A,manteau neigeux,N A,couvert,manteau,QSYN
impact transfrontière,N A,incidence transfrontière,N A,impact,incidence,QSYN
caractère propre,N A,caractère écologique,N A,propre,écologique,QSYN
biodiversité aquatique,N A,biodiversité océanique,N A,aquatique,océanique,QSYN
contamination des eaux,N P N,pollution par les eaux,N P N,contamination,pollution,QSYN
diminution de la productivité,N P N,baisse de la productivité,N P N,diminution,baisse,QSYN
conséquences de la dégradation,N P N,conséquences de la sécheresse,N P N,dégradation,sécheresse,QSYN
réutilisation des emballages,N P N,recyclage des emballages,N P N,réutilisation,recyclage,QSYN
période de croissance,N P N,période de développement,N P N,croissance,développement,QSYN
intérêt environnemental,N A,intérêt écologique,N A,environnemental,écologique,QSYN
phénomène global,N A,phénomène mondial,N A,global,mondial,QSYN
médecins du monde,N P N,médecins pour la planète,N P N,monde,planète,QSYN
réduction de température,N P N,diminution de la température,N P N,réduction,diminution,QSYN
valorisation des ressources,N P N,récupération des ressources,N P N,valorisation,récupération,QSYN
cause de la disparition,N P N,extinction à cause,N P N,disparition,extinction,QSYN
exploitation du charbon,N P N,exploitation du pétrole,N P N,charbon,pétrole,QSYN
couche de glace,N P N,couche de neige,N P N,glace,neige,QSYN
montagne en zone,N P N,milieu de montagne,N P N,zone,milieu,QSYN
terres dans la région,N P N,terres par les pays,N P N,région,pays,QSYN
mode de piégeage,N P N,mode de stockage,N P N,piégeage,stockage,QSYN
contamination par les pcb,N P N,pollution par les pcb,N P N,contamination,pollution,QSYN
contamination fécale,N A,pollution fécale,N A,contamination,pollution,QSYN
développement rapide,N A,urbanisation rapide,N A,développement,urbanisation,QSYN
électricité grâce,N N,énergie grâce,N N,électricité,énergie,QSYN
fonction de la croissance,N P N,développement en fonction,N P N,croissance,développement,QSYN
climat du globe,N P N,climat du monde,N P N,globe,monde,QSYN
amplification du réchauffement,N P N,augmentation du réchauffement,N P N,amplification,augmentation,QSYN
augmentation du nombre,N P N,hausse du nombre,N P N,augmentation,hausse,QSYN
bien-être global,N A,bien-être mondial,N A,global,mondial,QSYN
rôle dans la protection,N P N,rôle dans la préservation,N P N,protection,préservation,QSYN
dangers de contamination,N P N,dangers de la pollution,N P N,contamination,pollution,QSYN
extinction sur le territoire,N P N,perte de territoire,N P N,extinction,perte,QSYN
producteurs de gaz,N P N,producteurs de pétrole,N P N,gaz,pétrole,QSYN
région nord,N A,nord du pays,N P N,région,pays,QSYN
disparition des forêts,N P N,déclin des forêts,N P N,disparition,déclin,QSYN
eutrophisation du milieu,N P N,pollution du milieu,N P N,eutrophisation,pollution,QSYN
carbone en forêt,N P N,carbone du bois,N P N,forêt,bois,QSYN
face à la désertification,N P N,face à la sécheresse,N P N,désertification,sécheresse,QSYN
forêt exploitable,N A,bois exploitable,N A,forêt,bois,QSYN
protection de la planète,N P N,préservation de la planète,N P N,protection,préservation,QSYN
possibilités de recyclage,N P N,possibilités de valorisation,N P N,recyclage,valorisation,QSYN
villes du monde,N P N,villes de la planète,N P N,monde,planète,QSYN
taux de recyclage,N P N,taux de valorisation,N P N,recyclage,valorisation,QSYN
croissance des plantations,N P N,développement des plantations,N P N,croissance,développement,QSYN
sites de conservation,N P N,protection des sites,N P N,conservation,protection,QSYN
diminution progressive,N A,baisse progressive,N A,diminution,baisse,QSYN
dégradation des sols,N P N,détérioration des sols,N P N,dégradation,détérioration,QSYN
forêt au service,N P N,bois de service,N P N,forêt,bois,QSYN
eau sur la planète,N P N,eau dans la terre,N P N,planète,terre,QSYN
habitat boréal,N A,milieu boréal,N A,habitat,milieu,QSYN
métiers de la croissance,N P N,développement des métiers,N P N,croissance,développement,QSYN
écosystèmes dans le monde,N P N,écosystèmes sur terre,N P N,monde,terre,QSYN
jours de neige,N P N,jours de pluie,N P N,neige,pluie,QSYN
croissance des usages,N P N,développement des usages,N P N,croissance,développement,QSYN
augmentation du couvert,N P N,augmentation de la couverture,N P N,couvert,couverture,QSYN
dégradation croissante,N A,sécheresse croissante,N A,dégradation,sécheresse,QSYN
vagues de chaleur,N P N,énergie des vagues,N P N,chaleur,énergie,QSYN
eutrophisation générale,N A,dégradation générale,N A,eutrophisation,dégradation,QSYN
changement collectif,N A,public au changement,N P N,collectif,public,QSYN
extinction de la biodiversité,N P N,perte de biodiversité,N P N,extinction,perte,QSYN
laboratoire environnement,N N,laboratoire écologie,N N,environnement,écologie,QSYN
co2 au monde,N P N,co2 sur terre,N P N,monde,terre,QSYN
électricité photovoltaïque,N A,électricité solaire,N A,photovoltaïque,solaire,QSYN
extinction des espèces,N P N,perte des espèces,N P N,extinction,perte,QSYN
conditions de croissance,N P N,développement de conditions,N P N,croissance,développement,QSYN
électricité thermique,N A,énergie thermique,N A,électricité,énergie,QSYN
bords du lac,N P N,bords de mer,N P N,lac,mer,QSYN
sahel désertification,N N,sécheresse au sahel,N P N,désertification,sécheresse,QSYN
monde animal,N A,animal de la planète,N P N,monde,planète,QSYN
développement touristique,N A,urbanisation touristique,N A,développement,urbanisation,QSYN
climat de la terre,N P N,climat du globe,N P N,terre,globe,QSYN
eau du monde,N P N,eau sur terre,N P N,monde,terre,QSYN
caractère polluant,N A,caractère toxique,N A,polluant,toxique,QSYN
facteur de transformation,N P N,facteur de traitement,N P N,transformation,traitement,QSYN
secteur de la forêt,N P N,bois du secteur,N P N,forêt,bois,QSYN
extérieur de la région,N P N,extérieur du pays,N P N,région,pays,QSYN
agriculture organique,N A,agriculture biologique,N A,organique,biologique,QSYN
atmosphère à un niveau,N P N,air au niveau,N P N,atmosphère,air,QSYN
niveau du mode,N P N,transports au niveau,N P N,mode,transports,QSYN
ressources du monde,N P N,planète aux ressources,N P N,monde,planète,QSYN
population dans le monde,N P N,population de la terre,N P N,monde,terre,QSYN
biocapacité de la planète,N P N,biocapacité de la terre,N P N,planète,terre,QSYN
département de la côte,N P N,littoral du département,N P N,côte,littoral,QSYN
temps de déplacement,N P N,voyage dans le temps,N P N,déplacement,voyage,QSYN
programme global,N A,programme mondial,N A,global,mondial,QSYN
loi de conservation,N P N,loi sur la protection,N P N,conservation,protection,QSYN
monde durable,N A,planète durable,N A,monde,planète,QSYN
électricité au québec,N P N,énergie au québec,N P N,électricité,énergie,QSYN
sommet sur le changement,N P N,sommet sur le réchauffement,N P N,changement,réchauffement,QSYN
conversion en terres,N P N,transformation des terres,N P N,conversion,transformation,QSYN
voiture électrique,N A,automobile électrique,N A,voiture,automobile,QSYN
réduction de moitié,N P N,diminution de moitié,N P N,réduction,diminution,QSYN
diminution de la population,N P N,baisse de la population,N P N,diminution,baisse,QSYN
changement de fond,N P N,modification de fond,N P N,changement,modification,QSYN
flore mondiale,N A,végétation mondiale,N A,flore,végétation,QSYN
planète en danger,N P N,terre en danger,N P N,planète,terre,QSYN
dégradation de la planète,N P N,détérioration de la planète,N P N,dégradation,détérioration,QSYN
limites de la région,N P N,limites de la zone,N P N,région,zone,QSYN
cause de la pénurie,N P N,cause de raréfaction,N P N,pénurie,raréfaction,QSYN
culture moderne,N A,élevage moderne,N A,culture,élevage,QSYN
espèces dans une région,N P N,espèces des pays,N P N,région,pays,QSYN
croissance entre les pays,N P N,pays en développement,N P N,croissance,développement,QSYN
environnement maritime,N A,milieu maritime,N A,environnement,milieu,QSYN
dégel du pergélisol,N P N,fonte du pergélisol,N P N,dégel,fonte,QSYN
